도시명,Gini계수
대구광역시,0.559517441247327
광주광역시,0.2876059959335076
대전광역시,0.341127210953192
부산광역시,0.5096879009256798
서울특별시,0.655156781775791
세종특별자치시,0.7344024020802156
울산광역시,0.4913446179401119
인천광역시,0.5573967281488933
강릉시,0.6897097838856262
동해시,0.6787656328093126
삼척시,0.8127979911698001
속초시,0.5299357746214821
원주시,0.7536162037583015
춘천시,0.7717096586069244
태백시,0.7673574568617578
고양시,0.3674357221445347
과천시,0.28503467015357264
광명시,0.4225760314377313
광주시,0.7705001785549421
구리시,0.28576994757527285
군포시,0.7479640123752356
김포시,0.5118696231060489
남양주시,0.4138713426412879
동두천시,0.0
부천시,0.1808404211882293
성남시,0.3527534372782208
수원시,0.24921252018558454
시흥시,0.7930301267998848
안산시,0.07253987327284639
안성시,0.7808994228390748
안양시,0.17983279909087208
양주시,0.776402763623084
여주시,0.8411523561720099
오산시,0.42924260770026074
용인시,0.11086137651570876
의왕시,0.5537723791484098
의정부시,0.4634894256154297
이천시,0.8844072420919104
파주시,0.7315200708008972
평택시,0.17834041586063074
포천시,0.7468166001568709
하남시,0.7818954757477579
화성시,0.6666148586164281
거제시,0.670489460396904
김해시,0.6039241652230171
밀양시,0.6827122973597274
사천시,0.6923342863903948
양산시,0.7412401478504842
진주시,0.7680070898811918
창원시,0.21993442395545226
통영시,0.7247007904941676
경산시,0.6179591394930493
경주시,0.8435823926446466
구미시,0.7384283766344679
김천시,0.881290254736922
문경시,0.8870027155636692
상주시,0.838994452369213
안동시,0.80762243141457
영주시,0.6773932496440992
영천시,0.8488507758637047
포항시,0.73080521955282
광양시,0.7846389904926071
나주시,0.8199185210859081
목포시,0.7624479976924899
순천시,0.747427379960779
여수시,0.7985328101037354
군산시,0.8754266660367711
김제시,0.9415007444737633
남원시,0.8453623562830076
익산시,0.6116948014840137
전주시,0.020537077748449695
정읍시,0.9227584715897558
서귀포시,0.672250561750848
제주시,0.6515879007696158
계룡시,0.441413497471972
공주시,0.3754494826764552
논산시,0.661068265148143
당진시,0.5402731117035993
보령시,0.7852777544978715
서산시,0.690998790860659
아산시,0.6396578935505893
천안시,0.10303215834457907
제천시,0.7392623487881217
청주시,0.1026852995143775
충주시,0.795610291563209
