sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,cd_fac,cd_range,value,stats_year,raw_d_year,pop_year
30200,유성구,Yuseong-gu,30,대전광역시,Daejeon,1,0.750,269131,2022,202210,202210
30230,대덕구,Daedeok-gu,30,대전광역시,Daejeon,1,0.750,137058,2022,202210,202210
31110,중구,Jung-gu,31,울산광역시,Ulsan,1,0.750,192821,2022,202210,202210
31140,남구,Nam-gu,31,울산광역시,Ulsan,1,0.750,251215,2022,202210,202210
31170,동구,Dong-gu,31,울산광역시,Ulsan,1,0.750,121527,2022,202210,202210
31200,북구,Buk-gu,31,울산광역시,Ulsan,1,0.750,118130,2022,202210,202210
31710,울주군,Ulju-gun,31,울산광역시,Ulsan,1,0.750,133158,2022,202210,202210
36110,세종특별자치시,Sejong-si,36,세종특별자치시,Sejong-si,1,0.750,194112,2022,202210,202210
41111,수원시 장안구,"Jangan-gu, Suwon-si",41,경기도,Gyeonggi-do,1,0.750,228865,2022,202210,202210
41113,수원시 권선구,"Gwonseon-gu, Suwon-si",41,경기도,Gyeonggi-do,1,0.750,292332,2022,202210,202210
41115,수원시 팔달구,"Paldal-gu, Suwon-si",41,경기도,Gyeonggi-do,1,0.750,163830,2022,202210,202210
41117,수원시 영통구,"Yeongtong-gu, Suwon-si",41,경기도,Gyeonggi-do,1,0.750,307224,2022,202210,202210
41131,성남시 수정구,"Sujeong-gu, Seongnam-si",41,경기도,Gyeonggi-do,1,0.750,85353,2022,202210,202210
41133,성남시 중원구,"Jungwon-gu, Seongnam-si",41,경기도,Gyeonggi-do,1,0.750,76342,2022,202210,202210
41135,성남시 분당구,"Bundang-gu, Seongnam-si",41,경기도,Gyeonggi-do,1,0.750,304783,2022,202210,202210
41150,의정부시,Uijeongbu-si,41,경기도,Gyeonggi-do,1,0.750,323977,2022,202210,202210
41171,안양시 만안구,"Manan-gu, Anyang-si",41,경기도,Gyeonggi-do,1,0.750,158503,2022,202210,202210
41173,안양시 동안구,"Dongan-gu, Anyang-si",41,경기도,Gyeonggi-do,1,0.750,245926,2022,202210,202210
